,r$_x$,r$_y$,r$_z$
202,-40.14783638153148,44.58868952864367,24.900000000000002
203,-44.58868952864364,40.1478363815315,24.900000000000002
204,-48.54101966249684,35.267115137548394,24.900000000000002
205,-51.961524227066306,30.00000000000002,24.900000000000002
206,-54.81272745855605,24.404198584548027,24.900000000000002
207,-57.06339097770921,18.54101966249685,24.900000000000002
208,-58.688856044028334,12.474701449065584,24.900000000000002
209,-59.6713137220964,6.271707796059224,24.900000000000002
210,-60.0,7.34788079488412e-15,24.900000000000002
211,-59.67131372209641,-6.271707796059183,24.900000000000002
212,-58.68885604402834,-12.474701449065543,24.900000000000002
213,-57.06339097770922,-18.541019662496836,24.900000000000002
214,-54.81272745855607,-24.404198584547988,24.900000000000002
215,-51.96152422706633,-29.999999999999982,24.900000000000002
216,-48.54101966249685,-35.26711513754838,24.900000000000002
217,-44.58868952864368,-40.14783638153148,24.900000000000002
218,-40.147836381531505,-44.58868952864364,24.900000000000002
219,-35.267115137548394,-48.54101966249684,24.900000000000002
220,-30.00000000000003,-51.961524227066306,24.900000000000002
221,-24.404198584548052,-54.81272745855603,24.900000000000002
222,-18.541019662496854,-57.06339097770921,24.900000000000002
223,-12.474701449065588,-58.688856044028334,24.900000000000002
224,-6.271707796059254,-59.6713137220964,24.900000000000002
225,-1.1021821192326178e-14,-60.0,24.900000000000002
226,6.271707796059179,-59.67131372209641,24.900000000000002
227,12.474701449065513,-58.68885604402835,24.900000000000002
228,18.541019662496833,-57.06339097770922,24.900000000000002
229,24.404198584547984,-54.81272745855607,24.900000000000002
230,29.99999999999996,-51.96152422706634,24.900000000000002
231,35.26711513754837,-48.54101966249685,24.900000000000002
232,40.14783638153147,-44.58868952864368,24.900000000000002
233,44.58868952864362,-40.147836381531526,24.900000000000002
234,48.54101966249684,-35.2671151375484,24.900000000000002
235,51.961524227066306,-30.00000000000003,24.900000000000002
236,54.81272745855603,-24.404198584548055,24.900000000000002
237,57.06339097770921,-18.541019662496858,24.900000000000002
238,58.688856044028334,-12.474701449065591,24.900000000000002
239,59.6713137220964,-6.271707796059259,24.900000000000002
240,60.0,0.0,33.2
241,59.6713137220964,6.271707796059207,33.2
242,58.68885604402834,12.47470144906556,33.2
243,57.06339097770921,18.541019662496844,33.2
244,54.812727458556054,24.40419858454801,33.2
245,51.96152422706632,29.999999999999996,33.2
246,48.54101966249685,35.26711513754839,33.2
247,44.58868952864366,40.14783638153149,33.2
248,40.14783638153149,44.58868952864365,33.2
249,35.26711513754839,48.54101966249685,33.2
250,30.000000000000007,51.96152422706631,33.2
251,24.404198584548023,54.812727458556054,33.2
252,18.541019662496847,57.06339097770921,33.2
253,12.474701449065567,58.688856044028334,33.2
254,6.2717077960592205,59.6713137220964,33.2
255,3.67394039744206e-15,60.0,33.2
256,-6.2717077960592,59.67131372209641,33.2
257,-12.474701449065547,58.68885604402834,33.2
258,-18.54101966249684,57.06339097770922,33.2
259,-24.404198584548002,54.81272745855606,33.2
260,-29.999999999999986,51.96152422706632,33.2
261,-35.26711513754838,48.54101966249685,33.2
262,-40.14783638153148,44.58868952864367,33.2
263,-44.58868952864364,40.1478363815315,33.2
264,-48.54101966249684,35.267115137548394,33.2
265,-51.961524227066306,30.00000000000002,33.2
266,-54.81272745855605,24.404198584548027,33.2
267,-57.06339097770921,18.54101966249685,33.2
268,-58.688856044028334,12.474701449065584,33.2
269,-59.6713137220964,6.271707796059224,33.2
270,-60.0,7.34788079488412e-15,33.2
271,-59.67131372209641,-6.271707796059183,33.2
272,-58.68885604402834,-12.474701449065543,33.2
273,-57.06339097770922,-18.541019662496836,33.2
274,-54.81272745855607,-24.404198584547988,33.2
275,-51.96152422706633,-29.999999999999982,33.2
276,-48.54101966249685,-35.26711513754838,33.2
277,-44.58868952864368,-40.14783638153148,33.2
278,-40.147836381531505,-44.58868952864364,33.2
279,-35.267115137548394,-48.54101966249684,33.2
280,-30.00000000000003,-51.961524227066306,33.2
281,-24.404198584548052,-54.81272745855603,33.2
282,-18.541019662496854,-57.06339097770921,33.2
283,-12.474701449065588,-58.688856044028334,33.2
284,-6.271707796059254,-59.6713137220964,33.2
285,-1.1021821192326178e-14,-60.0,33.2
286,6.271707796059179,-59.67131372209641,33.2
287,12.474701449065513,-58.68885604402835,33.2
288,18.541019662496833,-57.06339097770922,33.2
289,24.404198584547984,-54.81272745855607,33.2
290,29.99999999999996,-51.96152422706634,33.2
291,35.26711513754837,-48.54101966249685,33.2
292,40.14783638153147,-44.58868952864368,33.2
293,44.58868952864362,-40.147836381531526,33.2
294,48.54101966249684,-35.2671151375484,33.2
295,51.961524227066306,-30.00000000000003,33.2
296,54.81272745855603,-24.404198584548055,33.2
297,57.06339097770921,-18.541019662496858,33.2
298,58.688856044028334,-12.474701449065591,33.2
299,59.6713137220964,-6.271707796059259,33.2
300,60.0,0.0,41.5
301,59.6713137220964,6.271707796059207,41.5
302,58.68885604402834,12.47470144906556,41.5
303,57.06339097770921,18.541019662496844,41.5
304,54.812727458556054,24.40419858454801,41.5
305,51.96152422706632,29.999999999999996,41.5
306,48.54101966249685,35.26711513754839,41.5
307,44.58868952864366,40.14783638153149,41.5
308,40.14783638153149,44.58868952864365,41.5
309,35.26711513754839,48.54101966249685,41.5
310,30.000000000000007,51.96152422706631,41.5
311,24.404198584548023,54.812727458556054,41.5
312,18.541019662496847,57.06339097770921,41.5
313,12.474701449065567,58.688856044028334,41.5
314,6.2717077960592205,59.6713137220964,41.5
315,3.67394039744206e-15,60.0,41.5
316,-6.2717077960592,59.67131372209641,41.5
317,-12.474701449065547,58.68885604402834,41.5
318,-18.54101966249684,57.06339097770922,41.5
319,-24.404198584548002,54.81272745855606,41.5
320,-29.999999999999986,51.96152422706632,41.5
321,-35.26711513754838,48.54101966249685,41.5
322,-40.14783638153148,44.58868952864367,41.5
323,-44.58868952864364,40.1478363815315,41.5
